# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2050-01-01
#
# GRDC-No.:              1234567
# River:                 River A
# Station:               Station A
# Country:               Country A
# Latitude (DD):       47.51
# Longitude (DD):      10.05
# Catchment area (km²):      -999.000
# Altitude (m ASL):        -999.000
# Next downstream station:      1234568
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1940-01 - 1989-12
# No. of years:          60
# Last update:           3050-01-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 365
# DATA
YYYY-MM-DD;hh:mm; Value
1940-06-23;--:--;81.11
1940-06-24;--:--;77.82
1940-06-25;--:--;74.2
1940-06-26;--:--;80.05
1940-06-27;--:--;82.73
1940-06-28;--:--;81.56
1940-06-29;--:--;81.16
1940-06-30;--:--;82.38
1940-07-01;--:--;76.01
1940-07-02;--:--;76.1
1940-07-03;--:--;77.22
1940-07-04;--:--;75.2
1940-07-05;--:--;77.23
1940-07-06;--:--;78.39
1940-07-07;--:--;79.83
1940-07-08;--:--;75.58
1940-07-09;--:--;78.74
1940-07-10;--:--;76.62
1940-07-11;--:--;75.84
1940-07-12;--:--;75.37
1940-07-13;--:--;75.26
1940-07-14;--:--;74.81
1940-07-15;--:--;73.66
1940-07-16;--:--;75.93
1940-07-17;--:--;70.84
1940-07-18;--:--;72.17
1940-07-19;--:--;76.37
1940-07-20;--:--;70.82
1940-07-21;--:--;72.72
1940-07-22;--:--;72.67
1940-07-23;--:--;69.8
1940-07-24;--:--;72.33
1940-07-25;--:--;74.02
1940-07-26;--:--;70.01
1940-07-27;--:--;72.34
1940-07-28;--:--;69.97
1940-07-29;--:--;72.12
1940-07-30;--:--;71.97
1940-07-31;--:--;69.16
1940-08-01;--:--;70.69
1940-08-02;--:--;70.21
1940-08-03;--:--;68.52
1940-08-04;--:--;71.58
1940-08-05;--:--;65.89
1940-08-06;--:--;70.83
1940-08-07;--:--;66.55
1940-08-08;--:--;68.69
1940-08-09;--:--;71.83
1940-08-10;--:--;68.84
1940-08-11;--:--;71.64
1940-08-12;--:--;68.56
1940-08-13;--:--;67.31
1940-08-14;--:--;67.8
1940-08-15;--:--;70.14
1940-08-16;--:--;70.49
1940-08-17;--:--;65.88
1940-08-18;--:--;67.34
1940-08-19;--:--;66.41
1940-08-20;--:--;69.08
1940-08-21;--:--;68.13
1940-08-22;--:--;68.19
1940-08-23;--:--;68.62
1940-08-24;--:--;70.29
1940-08-25;--:--;71.14
1940-08-26;--:--;68.87
1940-08-27;--:--;69.08
1940-08-28;--:--;68.35
1940-08-29;--:--;67.08
1940-08-30;--:--;69.34
1940-08-31;--:--;70.32
1940-09-01;--:--;64.86
1940-09-02;--:--;65.96
1940-09-03;--:--;72.15
1940-09-04;--:--;71.96
1940-09-05;--:--;66.52
1940-09-06;--:--;69.59
1940-09-07;--:--;70.24
1940-09-08;--:--;62.89
1940-09-09;--:--;71.18
1940-09-10;--:--;65.09
1940-09-11;--:--;68.37
1940-09-12;--:--;66.01
1940-09-13;--:--;69.78
1940-09-14;--:--;66.43
1940-09-15;--:--;68.53
1940-09-16;--:--;64.6
1940-09-17;--:--;63.84
1940-09-18;--:--;66.82
1940-09-19;--:--;65.71
1940-09-20;--:--;68.07
1940-09-21;--:--;62.02
1940-09-22;--:--;65.25
1940-09-23;--:--;63.48
1940-09-24;--:--;67.52
1940-09-25;--:--;64.88
1940-09-26;--:--;65.09
1940-09-27;--:--;58.82
1940-09-28;--:--;63.83
1940-09-29;--:--;63.57
1940-09-30;--:--;60.74
1940-10-01;--:--;60.82
1940-10-02;--:--;62.21
1940-10-03;--:--;62.12
1940-10-04;--:--;64.6
1940-10-05;--:--;62.04
1940-10-06;--:--;62.92
1940-10-07;--:--;62.6
1940-10-08;--:--;60.4
1940-10-09;--:--;61.39
1940-10-10;--:--;62.1
1940-10-11;--:--;61.03
1940-10-12;--:--;62.02
1940-10-13;--:--;65.31
1940-10-14;--:--;61.06
1940-10-15;--:--;65.56
1940-10-16;--:--;62.81
1940-10-17;--:--;65.89
1940-10-18;--:--;61.29
1940-10-19;--:--;65.12
1940-10-20;--:--;60.27
1940-10-21;--:--;63.95
1940-10-22;--:--;64.33
1940-10-23;--:--;63.16
1940-10-24;--:--;65.73
1940-10-25;--:--;64.2
1940-10-26;--:--;65.61
1940-10-27;--:--;64.49
1940-10-28;--:--;67.14
1940-10-29;--:--;68.34
1940-10-30;--:--;70.52
1940-10-31;--:--;67.53
1940-11-01;--:--;69.3
1940-11-02;--:--;71.32
1940-11-03;--:--;67.57
1940-11-04;--:--;71.8
1940-11-05;--:--;67.94
1940-11-06;--:--;69.43
1940-11-07;--:--;72.98
1940-11-08;--:--;73.42
1940-11-09;--:--;75.7
1940-11-10;--:--;73.24
1940-11-11;--:--;73.52
1940-11-12;--:--;72.8
1940-11-13;--:--;75.34
1940-11-14;--:--;75.18
1940-11-15;--:--;74.79
1940-11-16;--:--;73.82
1940-11-17;--:--;79.76
1940-11-18;--:--;74.44
1940-11-19;--:--;73.68
1940-11-20;--:--;75.42
1940-11-21;--:--;75.26
1940-11-22;--:--;75.11
1940-11-23;--:--;75.15
1940-11-24;--:--;71.06
1940-11-25;--:--;76.94
1940-11-26;--:--;72.65
1940-11-27;--:--;76.08
1940-11-28;--:--;74.01
1940-11-29;--:--;76.5
1940-11-30;--:--;75.22
1940-12-01;--:--;74.09
1940-12-02;--:--;73.19
1940-12-03;--:--;77.41
1940-12-04;--:--;76.89
1940-12-05;--:--;72.15
1940-12-06;--:--;74.74
1940-12-07;--:--;75.13
1940-12-08;--:--;77.66
1940-12-09;--:--;77.88
1940-12-10;--:--;79.3
1940-12-11;--:--;74.48
1940-12-12;--:--;74.54
1940-12-13;--:--;77.19
1940-12-14;--:--;77.36
1940-12-15;--:--;71.47
1940-12-16;--:--;78.04
1940-12-17;--:--;77.32
1940-12-18;--:--;78.02
1940-12-19;--:--;74.96
1940-12-20;--:--;74.69
1940-12-21;--:--;73.43
1940-12-22;--:--;77.24
1940-12-23;--:--;75.78
1940-12-24;--:--;77.43
1940-12-25;--:--;74.65
1940-12-26;--:--;73.24
1940-12-27;--:--;72.36
1940-12-28;--:--;75.21
1940-12-29;--:--;74.02
1940-12-30;--:--;69.79
1940-12-31;--:--;74.3
1941-01-01;--:--;71.2
1941-01-02;--:--;73.25
1941-01-03;--:--;66.38
1941-01-04;--:--;71.46
1941-01-05;--:--;71.01
1941-01-06;--:--;68.09
1941-01-07;--:--;67.35
1941-01-08;--:--;68.73
1941-01-09;--:--;68.17
1941-01-10;--:--;67.24
1941-01-11;--:--;66.85
1941-01-12;--:--;65.57
1941-01-13;--:--;64.85
1941-01-14;--:--;58.09
1941-01-15;--:--;60.29
1941-01-16;--:--;64.07
1941-01-17;--:--;60.62
1941-01-18;--:--;60.34
1941-01-19;--:--;63.93
1941-01-20;--:--;61.86
1941-01-21;--:--;61.48
1941-01-22;--:--;58.22
1941-01-23;--:--;57.97
1941-01-24;--:--;55.55
1941-01-25;--:--;57.96
1941-01-26;--:--;57.7
1941-01-27;--:--;58.65
1941-01-28;--:--;56.28
1941-01-29;--:--;56.3
1941-01-30;--:--;54.2
1941-01-31;--:--;56.35
1941-02-01;--:--;54.91
1941-02-02;--:--;55.45
1941-02-03;--:--;59.12
1941-02-04;--:--;58.81
1941-02-05;--:--;54.97
1941-02-06;--:--;56.93
1941-02-07;--:--;59.34
1941-02-08;--:--;58.08
1941-02-09;--:--;57.57
1941-02-10;--:--;61.15
1941-02-11;--:--;55.15
1941-02-12;--:--;58.69
1941-02-13;--:--;57.02
1941-02-14;--:--;60.44
1941-02-15;--:--;57.4
1941-02-16;--:--;58.27
1941-02-17;--:--;58.87
1941-02-18;--:--;61.65
1941-02-19;--:--;60.39
1941-02-20;--:--;60.92
1941-02-21;--:--;58.38
1941-02-22;--:--;59.86
1941-02-23;--:--;59.08
1941-02-24;--:--;60.72
1941-02-25;--:--;61.17
1941-02-26;--:--;61.1
1941-02-27;--:--;59.55
1941-02-28;--:--;64.08
1941-03-01;--:--;60.06
1941-03-02;--:--;67.27
1941-03-03;--:--;64.56
1941-03-04;--:--;64.8
1941-03-05;--:--;62.09
1941-03-06;--:--;59.48
1941-03-07;--:--;64.45
1941-03-08;--:--;64.38
1941-03-09;--:--;64.23
1941-03-10;--:--;63.64
1941-03-11;--:--;65.79
1941-03-12;--:--;68.68
1941-03-13;--:--;63.5
1941-03-14;--:--;64.07
1941-03-15;--:--;68.7
1941-03-16;--:--;66.58
1941-03-17;--:--;66.97
1941-03-18;--:--;70.92
1941-03-19;--:--;69.22
1941-03-20;--:--;69.08
1941-03-21;--:--;68.1
1941-03-22;--:--;67.09
1941-03-23;--:--;65.37
1941-03-24;--:--;74.12
1941-03-25;--:--;67.01
1941-03-26;--:--;73.94
1941-03-27;--:--;74.47
1941-03-28;--:--;70.58
1941-03-29;--:--;71.7
1941-03-30;--:--;71.63
1941-03-31;--:--;69.75
1941-04-01;--:--;73.72
1941-04-02;--:--;74.6
1941-04-03;--:--;72.91
1941-04-04;--:--;74.88
1941-04-05;--:--;75.01
1941-04-06;--:--;73.86
1941-04-07;--:--;73.26
1941-04-08;--:--;72.72
1941-04-09;--:--;75.37
1941-04-10;--:--;77.37
1941-04-11;--:--;74.39
1941-04-12;--:--;79.05
1941-04-13;--:--;79.1
1941-04-14;--:--;78.21
1941-04-15;--:--;75.8
1941-04-16;--:--;79.16
1941-04-17;--:--;76.14
1941-04-18;--:--;78.23
1941-04-19;--:--;80.62
1941-04-20;--:--;82.38
1941-04-21;--:--;82.3
1941-04-22;--:--;80.96
1941-04-23;--:--;82.41
1941-04-24;--:--;80.18
1941-04-25;--:--;82.05
1941-04-26;--:--;81.89
1941-04-27;--:--;86.08
1941-04-28;--:--;85.52
1941-04-29;--:--;84.18
1941-04-30;--:--;89.78
1941-05-01;--:--;86.24
1941-05-02;--:--;85.33
1941-05-03;--:--;89
1941-05-04;--:--;85.56
1941-05-05;--:--;87.44
1941-05-06;--:--;89.78
1941-05-07;--:--;92.25
1941-05-08;--:--;89.01
1941-05-09;--:--;88.86
1941-05-10;--:--;88.59
1941-05-11;--:--;93.4
1941-05-12;--:--;92.41
1941-05-13;--:--;91.52
1941-05-14;--:--;91.38
1941-05-15;--:--;94.47
1941-05-16;--:--;95.22
1941-05-17;--:--;95.73
1941-05-18;--:--;94.51
1941-05-19;--:--;94.09
1941-05-20;--:--;97.59
1941-05-21;--:--;99.23
1941-05-22;--:--;94.97
1941-05-23;--:--;99.04
1941-05-24;--:--;98.04
1941-05-25;--:--;101.64
1941-05-26;--:--;100.06
1941-05-27;--:--;101.5
1941-05-28;--:--;99.87
1941-05-29;--:--;99.54
1941-05-30;--:--;105.27
1941-05-31;--:--;103.48
1941-06-01;--:--;102.35
1941-06-02;--:--;106.48
1941-06-03;--:--;103.34
1941-06-04;--:--;104.04
1941-06-05;--:--;105.77
1941-06-06;--:--;107.22
1941-06-07;--:--;104.97
1941-06-08;--:--;107.92
1941-06-09;--:--;110.41
1941-06-10;--:--;109.36
1941-06-11;--:--;112.37
1941-06-12;--:--;110.53
1941-06-13;--:--;113.65
1941-06-14;--:--;111.82
1941-06-15;--:--;112.33
1941-06-16;--:--;110.44
1941-06-17;--:--;112.84
1941-06-18;--:--;115.89
1941-06-19;--:--;114.15
1941-06-20;--:--;115.19
1941-06-21;--:--;113.08
1941-06-22;--:--;117.28
1941-06-23;--:--;119.29
1941-06-24;--:--;116.99
1941-06-25;--:--;115.54
1941-06-26;--:--;115.12
1941-06-27;--:--;113.29
1941-06-28;--:--;114.62
1941-06-29;--:--;116.19
1941-06-30;--:--;113.97
1941-07-01;--:--;118.26
1941-07-02;--:--;117.84
1941-07-03;--:--;112.62
1941-07-04;--:--;116.05
1941-07-05;--:--;121.75
1941-07-06;--:--;118.19
1941-07-07;--:--;112.12
1941-07-08;--:--;115.61
1941-07-09;--:--;115.98
1941-07-10;--:--;114.93
1941-07-11;--:--;113.7
1941-07-12;--:--;113.96
1941-07-13;--:--;114.88
1941-07-14;--:--;116.15
1941-07-15;--:--;112.51
1941-07-16;--:--;113.47
1941-07-17;--:--;111.17
1941-07-18;--:--;113.73
1941-07-19;--:--;112.68
1941-07-20;--:--;109.84
1941-07-21;--:--;108.14
1941-07-22;--:--;113.03
1941-07-23;--:--;110.27
1941-07-24;--:--;112.04
1941-07-25;--:--;111.96
1941-07-26;--:--;108.29
1941-07-27;--:--;109.85
1941-07-28;--:--;105.83
1941-07-29;--:--;105.53
1941-07-30;--:--;109.3
1941-07-31;--:--;108.64
1941-08-01;--:--;101.79
1941-08-02;--:--;103.83
1941-08-03;--:--;103.04
1941-08-04;--:--;102.65
1941-08-05;--:--;107.62
1941-08-06;--:--;101.33
1941-08-07;--:--;98.86
1941-08-08;--:--;100.26
1941-08-09;--:--;101.76
1941-08-10;--:--;95.29
1941-08-11;--:--;95.09
1941-08-12;--:--;92.13
1941-08-13;--:--;93.54
1941-08-14;--:--;92.04
1941-08-15;--:--;91.31
1941-08-16;--:--;92.38
1941-08-17;--:--;91.87
1941-08-18;--:--;89.67
1941-08-19;--:--;91.63
1941-08-20;--:--;89.85
1941-08-21;--:--;86.51
1941-08-22;--:--;87.8
1941-08-23;--:--;83.87
1941-08-24;--:--;82.36
1941-08-25;--:--;83.79
1941-08-26;--:--;83.7
1941-08-27;--:--;80.9
1941-08-28;--:--;81.91
1941-08-29;--:--;80.91
1941-08-30;--:--;79.49
1941-08-31;--:--;78.53
1941-09-01;--:--;78.78
1941-09-02;--:--;74.31
1941-09-03;--:--;76.09
1941-09-04;--:--;78.5
1941-09-05;--:--;72.92
1941-09-06;--:--;76.88
1941-09-07;--:--;72.04
1941-09-08;--:--;76.27
1941-09-09;--:--;72.44
1941-09-10;--:--;71.16
1941-09-11;--:--;68.18
1941-09-12;--:--;69.05
1941-09-13;--:--;68.1
1941-09-14;--:--;64.88
1941-09-15;--:--;63.84
1941-09-16;--:--;64.89
1941-09-17;--:--;66.32
1941-09-18;--:--;61.4
1941-09-19;--:--;65.09
1941-09-20;--:--;63.22
1941-09-21;--:--;63.97
1941-09-22;--:--;58.9
1941-09-23;--:--;58.09
1941-09-24;--:--;58.11
1941-09-25;--:--;60.12
1941-09-26;--:--;58.47
1941-09-27;--:--;59.76
1941-09-28;--:--;57.78
1941-09-29;--:--;53.7
1941-09-30;--:--;57.63
1941-10-01;--:--;53.66
1941-10-02;--:--;53.99
1941-10-03;--:--;51.49
1941-10-04;--:--;51.54
1941-10-05;--:--;49.13
1941-10-06;--:--;53.76
1941-10-07;--:--;50.85
1941-10-08;--:--;52.69
1941-10-09;--:--;51.22
1941-10-10;--:--;50.86
1941-10-11;--:--;54.93
1941-10-12;--:--;56.14
1941-10-13;--:--;51.81
1941-10-14;--:--;51.69
1941-10-15;--:--;50.07
1941-10-16;--:--;55.84
1941-10-17;--:--;55.94
1941-10-18;--:--;55.16
1941-10-19;--:--;54.79
1941-10-20;--:--;49.72
1941-10-21;--:--;53.21
1941-10-22;--:--;50.86
1941-10-23;--:--;56.63
1941-10-24;--:--;50.05
1941-10-25;--:--;52.52
1941-10-26;--:--;53.61
1941-10-27;--:--;53.22
1941-10-28;--:--;52.21
1941-10-29;--:--;54.5
1941-10-30;--:--;54.73
1941-10-31;--:--;54.59
1941-11-01;--:--;56.17
1941-11-02;--:--;57.15
1941-11-03;--:--;53.88
1941-11-04;--:--;52.82
1941-11-05;--:--;51.74
1941-11-06;--:--;58.63
1941-11-07;--:--;54.99
1941-11-08;--:--;55.58
1941-11-09;--:--;53.98
1941-11-10;--:--;54.59
1941-11-11;--:--;57.11
1941-11-12;--:--;55.9
1941-11-13;--:--;56.15
1941-11-14;--:--;52.33
1941-11-15;--:--;58.48
1941-11-16;--:--;55.65
1941-11-17;--:--;59.26
1941-11-18;--:--;59.76
1941-11-19;--:--;52.98
1941-11-20;--:--;57.81
1941-11-21;--:--;51.98
1941-11-22;--:--;54.92
1941-11-23;--:--;55.14
1941-11-24;--:--;56.02
1941-11-25;--:--;61.17
1941-11-26;--:--;57.34
1941-11-27;--:--;57.58
1941-11-28;--:--;58.73
1941-11-29;--:--;56.48
1941-11-30;--:--;60.57
1941-12-01;--:--;60.04
1941-12-02;--:--;58.88
1941-12-03;--:--;61.29
1941-12-04;--:--;57.6
1941-12-05;--:--;56.9
1941-12-06;--:--;58.62
1941-12-07;--:--;57.07
1941-12-08;--:--;57.52
1941-12-09;--:--;61.3
1941-12-10;--:--;60.04
1941-12-11;--:--;62.4
1941-12-12;--:--;61.91
1941-12-13;--:--;59.6
1941-12-14;--:--;62.11
1941-12-15;--:--;63.18
1941-12-16;--:--;58.11
1941-12-17;--:--;58.05
1941-12-18;--:--;59.11
1941-12-19;--:--;61.27
1941-12-20;--:--;60.06
1941-12-21;--:--;59.74
1941-12-22;--:--;58.3
1941-12-23;--:--;59.69
1941-12-24;--:--;62.15
1941-12-25;--:--;59.24
1941-12-26;--:--;56.68
1941-12-27;--:--;53.98
1941-12-28;--:--;54.89
1941-12-29;--:--;55.24
1941-12-30;--:--;53.84
1941-12-31;--:--;54.21
1942-01-01;--:--;57.76
1942-01-02;--:--;54.17
1942-01-03;--:--;58.12
1942-01-04;--:--;54.54
1942-01-05;--:--;55.13
1942-01-06;--:--;55.52
1942-01-07;--:--;54.02
1942-01-08;--:--;53.86
1942-01-09;--:--;52
1942-01-10;--:--;50.88
1942-01-11;--:--;53.97
1942-01-12;--:--;53.1
1942-01-13;--:--;55.31
1942-01-14;--:--;55.45
1942-01-15;--:--;50.99
1942-01-16;--:--;54.31
1942-01-17;--:--;50.46
1942-01-18;--:--;55.64
1942-01-19;--:--;54.34
1942-01-20;--:--;51.64
1942-01-21;--:--;49.69
1942-01-22;--:--;51.15
1942-01-23;--:--;51.36
1942-01-24;--:--;52.55
1942-01-25;--:--;52.78
1942-01-26;--:--;51.99
1942-01-27;--:--;49.92
1942-01-28;--:--;49.74
1942-01-29;--:--;52.96
1942-01-30;--:--;54.24
1942-01-31;--:--;55.03
1942-02-01;--:--;55.05
1942-02-02;--:--;59
1942-02-03;--:--;56.41
1942-02-04;--:--;53.05
1942-02-05;--:--;51.7
1942-02-06;--:--;55.35
1942-02-07;--:--;56.43
1942-02-08;--:--;56.84
1942-02-09;--:--;56.15
1942-02-10;--:--;59.19
1942-02-11;--:--;56.68
1942-02-12;--:--;55.9
1942-02-13;--:--;60.39
1942-02-14;--:--;57.42
1942-02-15;--:--;60.64
1942-02-16;--:--;56.94
1942-02-17;--:--;58.5
1942-02-18;--:--;59.54
1942-02-19;--:--;58.85
1942-02-20;--:--;61.2
1942-02-21;--:--;61.13
1942-02-22;--:--;63.58
1942-02-23;--:--;63.24
1942-02-24;--:--;59.04
1942-02-25;--:--;58.72
1942-02-26;--:--;61.71
1942-02-27;--:--;65.23
1942-02-28;--:--;63.63
1942-03-01;--:--;64.88
1942-03-02;--:--;65.72
1942-03-03;--:--;61.53
1942-03-04;--:--;70.9
1942-03-05;--:--;66
1942-03-06;--:--;68.44
1942-03-07;--:--;71.19
1942-03-08;--:--;69.53
1942-03-09;--:--;70.03
1942-03-10;--:--;73.38
1942-03-11;--:--;70.79
1942-03-12;--:--;73.16
1942-03-13;--:--;75.03
1942-03-14;--:--;77.42
1942-03-15;--:--;74.9
1942-03-16;--:--;77.11
1942-03-17;--:--;76.21
1942-03-18;--:--;78.69
1942-03-19;--:--;74.42
1942-03-20;--:--;78.1
1942-03-21;--:--;79.32
1942-03-22;--:--;78.75
1942-03-23;--:--;83.56
1942-03-24;--:--;84.28
1942-03-25;--:--;85.62
1942-03-26;--:--;85.29
1942-03-27;--:--;86.83
1942-03-28;--:--;85.54
1942-03-29;--:--;89.32
1942-03-30;--:--;83.62
1942-03-31;--:--;88.3
1942-04-01;--:--;85.73
1942-04-02;--:--;87.12
1942-04-03;--:--;89
1942-04-04;--:--;87.85
1942-04-05;--:--;88.3
1942-04-06;--:--;88.84
1942-04-07;--:--;90.03
1942-04-08;--:--;90.5
1942-04-09;--:--;88.01
1942-04-10;--:--;94.83
1942-04-11;--:--;91.92
1942-04-12;--:--;91.62
1942-04-13;--:--;92.79
1942-04-14;--:--;90.6
1942-04-15;--:--;89.81
1942-04-16;--:--;89.27
1942-04-17;--:--;90.55
1942-04-18;--:--;90.87
1942-04-19;--:--;88.31
1942-04-20;--:--;92.13
1942-04-21;--:--;90.68
1942-04-22;--:--;89.62
1942-04-23;--:--;90.17
1942-04-24;--:--;89.01
1942-04-25;--:--;89.15
1942-04-26;--:--;90.53
1942-04-27;--:--;90.11
1942-04-28;--:--;93.23
1942-04-29;--:--;90.86
1942-04-30;--:--;87.99
1942-05-01;--:--;88.65
1942-05-02;--:--;88.52
1942-05-03;--:--;90.42
1942-05-04;--:--;90.66
1942-05-05;--:--;89.84
1942-05-06;--:--;90.34
1942-05-07;--:--;92.68
1942-05-08;--:--;89.97
1942-05-09;--:--;86.12
1942-05-10;--:--;94.28
1942-05-11;--:--;91.53
1942-05-12;--:--;92.19
1942-05-13;--:--;91.07
1942-05-14;--:--;90.97
1942-05-15;--:--;90.47
1942-05-16;--:--;94.01
1942-05-17;--:--;92.61
1942-05-18;--:--;90.2
1942-05-19;--:--;90.37
1942-05-20;--:--;88.61
1942-05-21;--:--;90.01
1942-05-22;--:--;88.51
1942-05-23;--:--;89.78
1942-05-24;--:--;88.77
1942-05-25;--:--;91.48
1942-05-26;--:--;84.01
1942-05-27;--:--;90.61
1942-05-28;--:--;88.52
1942-05-29;--:--;86.23
